time,pulse
2005.000000,0.000000
2005.050049,-0.009374
2005.099976,0.008209
2005.150024,0.002589
2005.199951,0.015679
2005.250000,0.026049
2005.300049,0.034978
2005.349976,0.037769
2005.400024,0.041643
2005.449951,0.052518
2005.500000,0.052811
2005.550049,0.063248
2005.599976,0.072231
2005.650024,0.076076
2005.699951,0.084901
2005.750000,0.090453
2005.800049,0.098129
2005.849976,0.104422
2005.900024,0.110497
2005.949951,0.115872
2006.000000,0.121446
2006.050049,0.124020
2006.099976,0.125448
2006.150024,0.132031
2006.199951,0.131947
2006.250000,0.142349
2006.300049,0.143880
2006.349976,0.146068
2006.400024,0.151922
2006.449951,0.162207
2006.500000,0.160621
2006.550049,0.168523
2006.599976,0.173817
2006.650024,0.177174
2006.699951,0.182751
2006.750000,0.184690
2006.800049,0.184609
2006.849976,0.188961
2006.900024,0.187091
2006.949951,0.186773
2007.000000,0.189973
2007.050049,0.194586
2007.099976,0.195556
2007.150024,0.188767
2007.199951,0.190828
2007.250000,0.192243
2007.300049,0.192761
2007.349976,0.194206
2007.400024,0.195089
2007.449951,0.202238
2007.500000,0.201707
2007.550049,0.202883
2007.599976,0.207215
2007.650024,0.216099
2007.699951,0.218022
2007.750000,0.220728
2007.800049,0.218502
2007.849976,0.239082
2007.900024,0.234430
2007.949951,0.241801
2008.000000,0.254738
2008.050049,0.251447
2008.099976,0.259038
2008.150024,0.260423
2008.199951,0.268644
2008.250000,0.267199
2008.300049,0.265752
2008.349976,0.271609
2008.400024,0.270738
2008.449951,0.272350
2008.500000,0.270003
2008.550049,0.263358
2008.599976,0.268556
2008.650024,0.266978
2008.699951,0.266008
2008.750000,0.265082
2008.800049,0.267148
2008.849976,0.271270
2008.900024,0.268469
2008.949951,0.263840
2009.000000,0.272163
2009.050049,0.269272
2009.099976,0.270013
2009.150024,0.263564
2009.199951,0.274613
2009.250000,0.270686
2009.300049,0.265827
2009.349976,0.259652
2009.400024,0.269521
2009.449951,0.258035
2009.500000,0.256727
2009.550049,0.247362
2009.599976,0.243942
2009.650024,0.237279
2009.699951,0.232771
2009.750000,0.221947
2009.800049,0.220734
2009.849976,0.214334
2009.900024,0.204778
2009.949951,0.196712
2010.000000,0.189380
2010.050049,0.174007
2010.099976,0.182044
2010.150024,0.168755
2010.199951,0.168230
2010.250000,0.163089
2010.300049,0.157343
2010.349976,0.151466
2010.400024,0.151347
2010.449951,0.134596
2010.500000,0.137640
2010.550049,0.133569
2010.599976,0.134114
2010.650024,0.123540
2010.699951,0.111427
2010.750000,0.108072
2010.800049,0.112250
2010.849976,0.110001
2010.900024,0.095407
2010.949951,0.089542
2011.000000,0.088458
2011.050049,0.085797
2011.099976,0.083071
2011.150024,0.076478
2011.199951,0.083171
2011.250000,0.078714
2011.300049,0.076120
2011.349976,0.072567
2011.400024,0.072272
2011.449951,0.080599
2011.500000,0.078651
2011.550049,0.084328
2011.599976,0.080463
2011.650024,0.080016
2011.699951,0.092586
2011.750000,0.091047
2011.800049,0.086346
2011.849976,0.090984
2011.900024,0.090677
2011.949951,0.093911
2012.000000,0.095527
2012.050049,0.092907
2012.099976,0.091400
2012.150024,0.100324
2012.199951,0.102579
2012.250000,0.089876
2012.300049,0.094949
2012.349976,0.095251
2012.400024,0.095361
2012.449951,0.094917
2012.500000,0.090261
2012.550049,0.093876
2012.599976,0.092905
2012.650024,0.094555
