time,pulse
2005.000000,0.000000
2005.050049,-0.005109
2005.099976,0.011663
2005.150024,0.023672
2005.199951,0.015738
2005.250000,0.033224
2005.300049,0.043578
2005.349976,0.034089
2005.400024,0.048656
2005.449951,0.060793
2005.500000,0.054610
2005.550049,0.055334
2005.599976,0.067427
2005.650024,0.056429
2005.699951,0.060197
2005.750000,0.059613
2005.800049,0.057168
2005.849976,0.056039
2005.900024,0.047277
2005.949951,0.042573
2006.000000,0.040940
2006.050049,0.046870
2006.099976,0.030236
2006.150024,0.029751
2006.199951,0.033974
2006.250000,0.029988
2006.300049,0.026039
2006.349976,0.030643
2006.400024,0.029037
2006.449951,0.030813
2006.500000,0.035316
2006.550049,0.038715
2006.599976,0.037410
2006.650024,0.044955
2006.699951,0.047481
2006.750000,0.055074
2006.800049,0.047110
2006.849976,0.058745
2006.900024,0.048216
2006.949951,0.048045
2007.000000,0.044209
2007.050049,0.040623
2007.099976,0.039470
2007.150024,0.030984
2007.199951,0.029521
2007.250000,0.024908
2007.300049,0.031968
2007.349976,0.015931
2007.400024,0.021902
2007.449951,0.019470
2007.500000,0.014171
2007.550049,0.017478
2007.599976,0.011121
2007.650024,0.010944
2007.699951,0.005984
2007.750000,0.003593
2007.800049,-0.011044
2007.849976,-0.008205
2007.900024,-0.013964
2007.949951,-0.018116
2008.000000,-0.022345
2008.050049,-0.022791
2008.099976,-0.019360
2008.150024,-0.027311
2008.199951,-0.020933
2008.250000,-0.016126
2008.300049,-0.012402
2008.349976,-0.009864
2008.400024,0.006343
2008.449951,0.010141
2008.500000,0.018559
2008.550049,0.037238
2008.599976,0.047934
2008.650024,0.048550
2008.699951,0.057114
2008.750000,0.072501
2008.800049,0.080952
2008.849976,0.095945
2008.900024,0.098145
2008.949951,0.109214
2009.000000,0.117587
2009.050049,0.122944
2009.099976,0.135461
2009.150024,0.135917
2009.199951,0.151085
2009.250000,0.158126
2009.300049,0.162175
2009.349976,0.166521
2009.400024,0.169812
2009.449951,0.175269
2009.500000,0.173201
2009.550049,0.172042
2009.599976,0.171095
2009.650024,0.169878
2009.699951,0.167320
2009.750000,0.151376
2009.800049,0.153761
2009.849976,0.156671
2009.900024,0.138744
2009.949951,0.130957
2010.000000,0.130173
2010.050049,0.123734
2010.099976,0.116620
2010.150024,0.109071
2010.199951,0.104875
2010.250000,0.094834
2010.300049,0.091358
2010.349976,0.087065
2010.400024,0.076617
2010.449951,0.079080
2010.500000,0.075912
2010.550049,0.063984
2010.599976,0.056437
2010.650024,0.056113
2010.699951,0.047767
2010.750000,0.038475
2010.800049,0.028303
2010.849976,0.015515
2010.900024,0.006231
2010.949951,-0.013639
2011.000000,-0.036323
2011.050049,-0.042260
2011.099976,-0.057317
2011.150024,-0.084330
2011.199951,-0.097675
2011.250000,-0.116495
2011.300049,-0.118583
2011.349976,-0.136313
2011.400024,-0.157130
2011.449951,-0.163441
2011.500000,-0.180880
2011.550049,-0.201301
2011.599976,-0.213695
2011.650024,-0.231613
2011.699951,-0.254966
2011.750000,-0.265810
2011.800049,-0.282933
2011.849976,-0.310934
2011.900024,-0.322292
2011.949951,-0.356164
2012.000000,-0.365722
2012.050049,-0.382368
2012.099976,-0.402994
2012.150024,-0.425088
2012.199951,-0.436285
2012.250000,-0.461207
2012.300049,-0.468272
2012.349976,-0.488168
2012.400024,-0.511363
2012.449951,-0.523658
2012.500000,-0.541224
2012.550049,-0.550596
2012.599976,-0.562778
2012.650024,-0.573535
2012.699951,-0.585442
2012.750000,-0.591763
2012.800049,-0.588897
2012.849976,-0.613520
2012.900024,-0.609836
2012.949951,-0.615327
2013.000000,-0.620706
2013.050049,-0.619173
2013.099976,-0.626196
2013.150024,-0.638321
2013.199951,-0.633723
2013.250000,-0.636912
2013.300049,-0.636623
2013.349976,-0.644109
2013.400024,-0.656345
