time,pulse
2005.000000,0.000000
2005.050049,-0.003973
2005.099976,0.003354
2005.150024,0.008883
2005.199951,0.012638
2005.250000,0.023682
2005.300049,0.025358
2005.349976,0.030951
2005.400024,0.045022
2005.449951,0.045442
2005.500000,0.049453
2005.550049,0.060170
2005.599976,0.066097
2005.650024,0.073035
2005.699951,0.074503
2005.750000,0.082387
2005.800049,0.096513
2005.849976,0.104996
2005.900024,0.092176
2005.949951,0.112141
2006.000000,0.120565
2006.050049,0.121375
2006.099976,0.128674
2006.150024,0.133152
2006.199951,0.135142
2006.250000,0.143316
2006.300049,0.144009
2006.349976,0.144742
2006.400024,0.148395
2006.449951,0.146280
2006.500000,0.161217
2006.550049,0.151063
2006.599976,0.165889
2006.650024,0.156599
2006.699951,0.166049
2006.750000,0.173319
2006.800049,0.172604
2006.849976,0.178889
2006.900024,0.178666
2006.949951,0.192406
2007.000000,0.191309
2007.050049,0.210051
2007.099976,0.205278
2007.150024,0.211999
2007.199951,0.213358
2007.250000,0.229437
2007.300049,0.228350
2007.349976,0.228130
2007.400024,0.237572
2007.449951,0.238572
2007.500000,0.237840
2007.550049,0.242947
2007.599976,0.238914
2007.650024,0.243505
2007.699951,0.239577
2007.750000,0.254563
2007.800049,0.248424
2007.849976,0.254633
2007.900024,0.259602
2007.949951,0.262244
2008.000000,0.272472
2008.050049,0.270681
2008.099976,0.277978
2008.150024,0.292194
2008.199951,0.285714
2008.250000,0.294863
2008.300049,0.291386
2008.349976,0.306018
2008.400024,0.313825
2008.449951,0.305935
2008.500000,0.315080
2008.550049,0.310977
2008.599976,0.315308
2008.650024,0.319162
2008.699951,0.319489
2008.750000,0.325593
2008.800049,0.329927
2008.849976,0.332181
2008.900024,0.325996
2008.949951,0.335185
2009.000000,0.340828
2009.050049,0.344867
2009.099976,0.346673
2009.150024,0.351596
2009.199951,0.347845
2009.250000,0.343770
2009.300049,0.339799
2009.349976,0.344512
2009.400024,0.335790
2009.449951,0.324416
2009.500000,0.314882
2009.550049,0.311121
2009.599976,0.289774
2009.650024,0.282482
2009.699951,0.261398
2009.750000,0.263141
2009.800049,0.245523
2009.849976,0.228159
2009.900024,0.226739
2009.949951,0.212541
2010.000000,0.205551
2010.050049,0.197717
2010.099976,0.183913
2010.150024,0.180614
2010.199951,0.175246
2010.250000,0.169066
2010.300049,0.154882
2010.349976,0.146817
2010.400024,0.151319
2010.449951,0.139950
2010.500000,0.132320
2010.550049,0.139927
2010.599976,0.134088
2010.650024,0.125647
2010.699951,0.136693
2010.750000,0.128438
2010.800049,0.127888
2010.849976,0.132210
2010.900024,0.137268
2010.949951,0.137904
2011.000000,0.149194
2011.050049,0.154137
2011.099976,0.150066
2011.150024,0.152241
2011.199951,0.160896
2011.250000,0.163644
2011.300049,0.163632
2011.349976,0.170374
2011.400024,0.177097
2011.449951,0.182624
2011.500000,0.182636
2011.550049,0.178791
2011.599976,0.177784
2011.650024,0.186037
2011.699951,0.167989
2011.750000,0.184691
2011.800049,0.180695
2011.849976,0.177674
2011.900024,0.183486
2011.949951,0.187811
2012.000000,0.178458
2012.050049,0.196699
2012.099976,0.192833
2012.150024,0.185871
2012.199951,0.193709
2012.250000,0.195757
2012.300049,0.204474
2012.349976,0.197256
2012.400024,0.189973
2012.449951,0.191356
2012.500000,0.195107
2012.550049,0.186989
2012.599976,0.184763
2012.650024,0.172799
2012.699951,0.165643
2012.750000,0.162366
2012.800049,0.156993
2012.849976,0.151846
2012.900024,0.148497
2012.949951,0.146167
2013.000000,0.143008
2013.050049,0.134072
2013.099976,0.129921
2013.150024,0.138348
2013.199951,0.134270
2013.250000,0.128160
2013.300049,0.137387
2013.349976,0.138360
2013.400024,0.129692
2013.449951,0.143158
2013.500000,0.140782
2013.550049,0.133366
2013.599976,0.140415
2013.650024,0.138810
2013.699951,0.124413
2013.750000,0.128927
2013.800049,0.130135
2013.849976,0.115803
2013.900024,0.110223
2013.949951,0.110401
2014.000000,0.090715
2014.050049,0.077220
2014.099976,0.071932
2014.150024,0.053577
2014.199951,0.039702
2014.250000,0.039690
2014.300049,0.016763
2014.349976,0.006420
2014.400024,0.011247
2014.449951,0.006964
2014.500000,-0.002648
2014.550049,0.003036
2014.599976,-0.003527
2014.650024,-0.004233
2014.699951,0.003716
2014.750000,0.000927
2014.800049,-0.000841
2014.849976,0.009377
2014.900024,0.005817
2014.949951,0.009256
2015.000000,0.009247
2015.050049,0.006588
